ProductID,ProductName,ProductDescription,ProductCategoryName,ProductSubcategoryName,Manufacturer
1,"Contoso 512MB MP3 Player E51 Silver","512MB USB driver plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
2,"Contoso 512MB MP3 Player E51 Blue","512MB USB driver plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
3,"Contoso 1G MP3 Player E100 White","1GB flash memory and USB driver plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
4,"Contoso 2G MP3 Player E200 Silver","2GB flash memory, LCD display, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
5,"Contoso 2G MP3 Player E200 Red","2GB flash memory, LCD display, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
6,"Contoso 2G MP3 Player E200 Black","2GB flash memory, LCD display, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
7,"Contoso 2G MP3 Player E200 Blue","2GB flash memory, LCD display, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
8,"Contoso 4G MP3 Player E400 Silver","4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
9,"Contoso 4G MP3 Player E400 Black","4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
10,"Contoso 4G MP3 Player E400 Green","4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
11,"Contoso 4G MP3 Player E400 Orange","4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",Audio,MP4&MP3,"Contoso, Ltd"
12,"Contoso 4GB Flash MP3 Player E401 Blue","1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",Audio,MP4&MP3,"Contoso, Ltd"
13,"Contoso 4GB Flash MP3 Player E401 Black","1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",Audio,MP4&MP3,"Contoso, Ltd"
14,"Contoso 4GB Flash MP3 Player E401 Silver","1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",Audio,MP4&MP3,"Contoso, Ltd"
15,"Contoso 4GB Flash MP3 Player E401 White","1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",Audio,MP4&MP3,"Contoso, Ltd"
16,"Contoso 8GB Super-Slim MP3/Video Player M800 White","2" color LCD, Touchpad, Plays music, video, photos and text",Audio,MP4&MP3,"Contoso, Ltd"
17,"Contoso 8GB Super-Slim MP3/Video Player M800 Red","2" color LCD, Touchpad, Plays music, video, photos and text",Audio,MP4&MP3,"Contoso, Ltd"
18,"Contoso 8GB Super-Slim MP3/Video Player M800 Green","2" color LCD, Touchpad, Plays music, video, photos and text",Audio,MP4&MP3,"Contoso, Ltd"
19,"Contoso 8GB Super-Slim MP3/Video Player M800 Pink","2" color LCD, Touchpad, Plays music, video, photos and text",Audio,MP4&MP3,"Contoso, Ltd"
20,"Contoso 8GB MP3 Player new model M820 Black","2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",Audio,MP4&MP3,"Contoso, Ltd"
21,"Contoso 8GB MP3 Player new model M820 Blue","2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",Audio,MP4&MP3,"Contoso, Ltd"
22,"Contoso 8GB MP3 Player new model M820 Yellow","2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",Audio,MP4&MP3,"Contoso, Ltd"
23,"Contoso 8GB MP3 Player new model M820 White","2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",Audio,MP4&MP3,"Contoso, Ltd"
24,"Contoso 16GB Mp5 Player M1600 Blue","3" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",Audio,MP4&MP3,"Contoso, Ltd"
25,"Contoso 16GB Mp5 Player M1600 Black","3" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",Audio,MP4&MP3,"Contoso, Ltd"
26,"Contoso 16GB Mp5 Player M1600 Green","3" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",Audio,MP4&MP3,"Contoso, Ltd"
27,"Contoso 16GB Mp5 Player M1600 White","3" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",Audio,MP4&MP3,"Contoso, Ltd"
28,"Contoso 16GB Mp5 Player M1600 Red","3" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",Audio,MP4&MP3,"Contoso, Ltd"
29,"Contoso 32GB Video MP3 Player M3200 White","4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",Audio,MP4&MP3,"Contoso, Ltd"
30,"Contoso 32GB Video MP3 Player M3200 Red","4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",Audio,MP4&MP3,"Contoso, Ltd"
31,"Contoso 32GB Video MP3 Player M3200 Orange","4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",Audio,MP4&MP3,"Contoso, Ltd"
32,"Contoso 32GB Video MP3 Player M3200 Pink","4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",Audio,MP4&MP3,"Contoso, Ltd"
33,"Contoso 32GB Video MP3 Player M3200 Black","4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",Audio,MP4&MP3,"Contoso, Ltd"
34,"Contoso 4GB Portable MP3 Player M450 Black","4GB built in memory, USB driver and earphone, play MP3, WMA",Audio,MP4&MP3,"Contoso, Ltd"
35,"Contoso 4GB Portable MP3 Player M450 White","4GB built in memory, USB driver and earphone, play MP3, WMA",Audio,MP4&MP3,"Contoso, Ltd"
36,"Contoso 4GB Portable MP3 Player M450 Yellow","4GB built in memory, USB driver and earphone, play MP3, WMA",Audio,MP4&MP3,"Contoso, Ltd"
37,"Contoso 8GB Clock & Radio MP3 Player X850 Silver","2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",Audio,MP4&MP3,"Contoso, Ltd"
38,"Contoso 8GB Clock & Radio MP3 Player X850 Black","2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",Audio,MP4&MP3,"Contoso, Ltd"
39,"Contoso 8GB Clock & Radio MP3 Player X850 Green","2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",Audio,MP4&MP3,"Contoso, Ltd"
40,"Contoso 8GB Clock & Radio MP3 Player X850 Blue","2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",Audio,MP4&MP3,"Contoso, Ltd"
41,"Contoso 16GB New Generation MP5 Player M1650 Silver","2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",Audio,MP4&MP3,"Contoso, Ltd"
42,"Contoso 16GB New Generation MP5 Player M1650 White","2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",Audio,MP4&MP3,"Contoso, Ltd"
43,"Contoso 16GB New Generation MP5 Player M1650 Black","2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",Audio,MP4&MP3,"Contoso, Ltd"
44,"Contoso 16GB New Generation MP5 Player M1650 blue","2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",Audio,MP4&MP3,"Contoso, Ltd"
45,"Contoso 16GB New Generation MP5 Player M1650 Pink","2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",Audio,MP4&MP3,"Contoso, Ltd"
46,"WWI 1GB Pulse Smart pen E50 White","Record and link audio to be written, listen to recordings, share notes and recording with computer",Audio,"Recording Pen","Wide World Importers"
47,"WWI 1GBPulse Smart pen E50 Black","Record and link audio to be written, listen to recordings, share notes and recording with computer",Audio,"Recording Pen","Wide World Importers"
48,"WWI 1GB Pulse Smart pen E50 Silver","Record and link audio to be written, listen to recordings, share notes and recording with computer",Audio,"Recording Pen","Wide World Importers"
49,"WWI 2GB Pulse Smart pen M100 White","Record and link audio to be written, listen to recordings, share notes and recording with computer",Audio,"Recording Pen","Wide World Importers"
50,"WWI 2GB Pulse Smart pen M100 Black","Record and link audio to be written, listen to recordings, share notes and recording with computer",Audio,"Recording Pen","Wide World Importers"
